playerID,yearID,league,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS
aardsda01,2012,AL,NYA,1,,,,,,,,,
aardsda01,2010,AL,SEA,53,0,0,0,0,0,0,0,0,0
abadfe01,2012,NL,HOU,37,7,0,1,0,0,0,0,0,0
zimmery01,2012,NL,WAS,145,578,93,163,36,1,25,95,5,2
zimmery01,2011,NL,WAS,101,395,52,114,21,2,12,49,3,1
zimmery01,2010,NL,WAS,142,525,85,161,32,0,25,85,4,1
jepseke01,2012,AL,LAA,49,,,,,,,,,
jepseke01,2010,AL,LAA,68,0,0,0,0,0,0,0,0,0
jepseke01,2009,AL,LAA,54,0,0,0,0,0,0,0,0,0
jepseke01,2008,AL,LAA,9,,,,,,,,,
jeterde01,2012,AL,NYA,159,683,99,216,32,0,15,58,9,4
jeterde01,2011,AL,NYA,131,546,84,162,24,4,6,61,16,6
jeterde01,2010,AL,NYA,157,663,111,179,30,3,10,67,18,5
jeterde01,2009,AL,NYA,153,634,107,212,27,1,18,66,30,5
jeterde01,2008,AL,NYA,150,596,88,179,25,3,11,69,11,5
jeterde01,2007,AL,NYA,156,639,102,206,39,4,12,73,15,8
jimence01,2008,AL,SEA,31,,,,,,,,,
johnske05,2012,AL,TOR,142,507,61,114,19,2,16,55,14,2
johnske05,2011,NL,ARI,114,430,59,90,23,5,18,49,13,3
johnske05,2011,AL,TOR,33,115,16,31,4,2,3,9,3,3
johnske05,2010,NL,ARI,154,585,93,166,36,5,26,71,13,7
johnske05,2009,NL,ATL,106,303,47,68,20,3,8,29,7,2
johnske05,2008,NL,ATL,150,547,86,157,39,6,12,69,11,6
johnske05,2007,NL,ATL,147,521,91,144,26,10,16,68,9,5
johnsma02,2008,NL,SLN,10,17,1,5,0,0,0,2,0,0
johnsni01,2012,AL,BAL,38,87,9,18,4,0,4,11,2,0
johnsni01,2010,AL,NYA,24,72,12,12,4,0,2,8,0,1
johnsni01,2009,NL,WAS,98,353,47,104,16,2,6,44,2,2
johnsni01,2009,NL,FLO,35,104,24,29,8,0,2,18,0,2
johnsni01,2008,NL,WAS,38,109,15,24,8,0,5,20,0,0
johnsra05,2009,NL,SFN,22,26,1,2,0,0,0,0,0,0
johnsra05,2008,NL,ARI,30,50,2,7,1,0,0,5,0,0
